Unnamed: 0,Addresse,Lat,Lng,Name,Rating,Points,geometry
176,"Quartiergasse 3, 3013 Bern, Switzerland",46.958047799999996,7.4465038,La Carbonara,4.2,POINT (7.4465038 46.9580478),POINT (7.4465038 46.9580478)
177,"Schermenweg 179, 3072 Ostermundigen, Switzerland",46.957562599999996,7.480958999999999,L'Osteria d'Abruzzo,4.4,POINT (7.480958999999999 46.9575626),POINT (7.480958999999999 46.9575626)
178,"Länggasstrasse 19, 3012 Bern, Switzerland",46.9588575,7.427328599999999,Pizza Subito da Giovanni Iacono,0.0,POINT (7.427328599999999 46.9588575),POINT (7.427328599999999 46.9588575)
179,"Dorfstrasse 11, 3073 Gümligen, Switzerland",46.9362643,7.503326800000001,La Tana Del Lupo,4.2,POINT (7.503326800000001 46.9362643),POINT (7.503326800000001 46.9362643)
180,"Aarbergergasse 35, 3011 Bern, Switzerland",46.9495784,7.442552099999999,Divino,3.5,POINT (7.442552099999999 46.9495784),POINT (7.442552099999999 46.9495784)
181,"Herrengasse 24, 3011 Bern, Switzerland",46.94715799999999,7.4496660000000015,De Fusco Ristorante Enoteca,0.0,POINT (7.449666000000001 46.94715799999999),POINT (7.449666000000001 46.94715799999999)
182,"Bernstrasse 79, 3018 Bern, Switzerland",46.9409268,7.3931377000000005,Osteria da Santo GmbH,4.4,POINT (7.3931377 46.9409268),POINT (7.3931377 46.9409268)
183,"Gerechtigkeitsgasse 12, 3011 Bern, Switzerland",46.948724,7.455575000000001,Treff,4.0,POINT (7.455575000000001 46.948724),POINT (7.455575000000001 46.948724)
184,"Weingartstrasse 32, 3014 Bern, Switzerland",46.962266,7.455094,Ristorante Pizzeria Calabrisella,4.2,POINT (7.455094 46.962266),POINT (7.455094 46.962266)
185,"Rathausgasse 23, 3011 Bern, Switzerland",46.94847,7.450834599999999,Lo stuzzichino,4.4,POINT (7.450834599999999 46.94847),POINT (7.450834599999999 46.94847)
186,"Freiburgstrasse 169, 3008 Bern, Switzerland",46.942476299999996,7.405082199999999,Trattoria da Walter,4.4,POINT (7.405082199999999 46.9424763),POINT (7.405082199999999 46.9424763)
187,"Talgut-Zentrum 34, 3063 Ittigen, Switzerland",46.974511299999996,7.4815245,Arcadia Taberna Romana,4.4,POINT (7.4815245 46.9745113),POINT (7.4815245 46.9745113)
188,"Kornhausstrasse 3, 3013 Bern, Switzerland",46.95343,7.448591500000001,Restaurant Giardino,4.0,POINT (7.448591500000001 46.95343),POINT (7.448591500000001 46.95343)
189,"Kranichweg 6, 3074 Muri bei Bern, Switzerland",46.9349883,7.4898745999999985,Restaurant Pizzeria Thoracker,4.3,POINT (7.489874599999998 46.9349883),POINT (7.489874599999998 46.9349883)
190,"Quellenweg 1, 3084 Köniz, Switzerland",46.927766399999996,7.453168199999999,Pizzeria da Antonio Wabern Bern Pizza und take away,4.5,POINT (7.453168199999999 46.9277664),POINT (7.453168199999999 46.9277664)
191,"Rue Saint-Pierre 3, 1003 Lausanne, Switzerland",46.5196476,6.6370863,Luigia,4.2,POINT (6.6370863 46.5196476),POINT (6.6370863 46.5196476)
192,"Avenue de Tivoli 60, 1007 Lausanne, Switzerland",46.5212116,6.6174664000000005,Zafferano,4.7,POINT (6.617466400000001 46.5212116),POINT (6.617466400000001 46.5212116)
193,"Rue Marterey 9, 1005 Lausanne, Switzerland",46.52078729999999,6.6384200999999985,Restaurant L'Antica Trattoria,4.3,POINT (6.638420099999998 46.52078729999999),POINT (6.638420099999998 46.52078729999999)
194,"Avenue de la Gare 20, 1003 Lausanne, Switzerland",46.5171026,6.633398700000001,Restaurant La Bruschetta,4.3,POINT (6.633398700000001 46.5171026),POINT (6.633398700000001 46.5171026)
195,"Avenue d'Ouchy 38, 1006 Lausanne, Switzerland",46.511826,6.629179,Piazza San marco,4.4,POINT (6.629179 46.511826),POINT (6.629179 46.511826)
196,"Place de la Gare 4, 1003 Lausanne, Switzerland",46.5175977,6.6294476,Vapiano,4.0,POINT (6.6294476 46.5175977),POINT (6.6294476 46.5175977)
197,"Avenue d'Ouchy 14, 1006 Lausanne, Switzerland",46.5136042,6.630593699999999,Restaurant Osteria Balsamico,4.2,POINT (6.630593699999999 46.5136042),POINT (6.630593699999999 46.5136042)
198,"Chemin de Couvaloup 13, 1005 Lausanne, Switzerland",46.5250375,6.6363107999999995,Ulivo,4.4,POINT (6.6363108 46.5250375),POINT (6.6363108 46.5250375)
199,"Avenue d'Echallens 72, 1004 Lausanne, Switzerland",46.528149000000006,6.616410000000001,Ristorante St Paul,4.7,POINT (6.616410000000001 46.52814900000001),POINT (6.616410000000001 46.52814900000001)
200,"Place du Port 11, 1006 Lausanne, Switzerland",46.50716129999999,6.628313499999999,L´Accademia,4.3,POINT (6.628313499999999 46.50716129999999),POINT (6.628313499999999 46.50716129999999)
201,"Rue Marterey 25, 1005 Lausanne, Switzerland",46.5213123,6.639653200000001,Restaurant pizzeria Bravissimo,4.4,POINT (6.639653200000001 46.5213123),POINT (6.639653200000001 46.5213123)
202,"Avenue de la Gare 52, 1003 Lausanne, Switzerland",46.5175303,6.6305866999999985,Bella Vita,3.6,POINT (6.630586699999999 46.5175303),POINT (6.630586699999999 46.5175303)
203,"Rue de Bourg 28, 1003 Lausanne, Switzerland",46.519899,6.636143,Chez Mario,4.3,POINT (6.636143 46.519899),POINT (6.636143 46.519899)
204,"Via Valentino, 12, 1004 Lausanne, Switzerland",46.5244061,6.632040900000002,I Giardini d'Italia,3.2,POINT (6.632040900000002 46.5244061),POINT (6.632040900000002 46.5244061)
205,"Avenue du Théâtre 12, 1005 Lausanne, Switzerland",46.51804,6.636889999999998,Restaurant du Théâtre,4.3,POINT (6.636889999999998 46.51804),POINT (6.636889999999998 46.51804)
206,"Avenue Emile-Henri-Jaques-Dalcroze 9, 1007 Lausanne, Switzerland",46.5115408,6.6095273,Watergate,3.6,POINT (6.6095273 46.5115408),POINT (6.6095273 46.5115408)
207,"Rue de Lausanne 23, 1020 Renens, Switzerland",46.53686079999999,6.582838900000001,Trattoria du Commerce,4.0,POINT (6.582838900000001 46.53686079999999),POINT (6.582838900000001 46.53686079999999)
208,"Avenue Mon-Repos 14, 1005 Lausanne, Switzerland",46.518766,6.640295,Restaurant Pizzeria Gigio’s Lausanne,4.0,POINT (6.640295 46.518766),POINT (6.640295 46.518766)
209,"Grand-Rue 22, 1009 Pully, Switzerland",46.510224900000004,6.6609856,La Stella,4.1,POINT (6.6609856 46.5102249),POINT (6.6609856 46.5102249)
210,"Rue de la Barre 5, 1003 Lausanne, Switzerland",46.5257225,6.635713699999998,Caffe Bellini,3.9,POINT (6.635713699999998 46.5257225),POINT (6.635713699999998 46.5257225)
211,"Avenue de Chailly 13, 1012 Lausanne, Switzerland",46.525515000000006,6.652269,Au charbon,4.0,POINT (6.652269 46.52551500000001),POINT (6.652269 46.52551500000001)
212,"Avenue de la Sallaz 31, 1010 Lausanne, Switzerland",46.5314723,6.6459734,Restaurant L'Amica,3.6,POINT (6.6459734 46.5314723),POINT (6.6459734 46.5314723)
